timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
206679,1755606543379,15.43,47.12,-21.97,800,773,770,340,888,34.48275862068966,-0.259,0.718,0.664
206709,1755606543381,15.44,47.13,-21.98,799,779,774,406,878,33.333333333333336,-0.257,0.715,0.662
206738,1755606543383,15.48,47.03,-22.03,801,775,774,435,880,34.48275862068966,-0.256,0.713,0.661
206768,1755606543385,15.46,47.02,-22.01,802,770,766,391,882,33.333333333333336,-0.257,0.713,0.662
206797,1755606543387,15.46,47.07,-22.0,803,768,772,338,874,34.48275862068966,-0.259,0.716,0.664
206827,1755606543389,15.45,47.01,-22.01,801,779,775,357,880,33.333333333333336,-0.257,0.713,0.662
206856,1755606543391,15.43,47.03,-21.98,803,769,775,414,878,34.48275862068966,-0.254,0.711,0.665
206886,1755606543393,15.45,47.13,-21.96,797,769,774,424,881,33.333333333333336,-0.255,0.713,0.667
206916,1755606543395,15.47,47.19,-21.97,803,774,774,364,870,33.333333333333336,-0.255,0.713,0.661
206945,1755606543397,15.45,47.15,-21.98,797,774,775,352,876,34.48275862068966,-0.254,0.71,0.661
206975,1755606543399,15.46,47.17,-21.98,800,774,777,404,875,33.333333333333336,-0.256,0.711,0.664
207005,1755606543401,15.47,47.19,-21.99,802,779,774,432,877,33.333333333333336,-0.256,0.714,0.663
207034,1755606543403,15.48,47.21,-22.04,800,775,776,397,880,34.48275862068966,-0.256,0.715,0.663
207064,1755606543404,15.5,47.3,-22.04,799,773,786,344,874,33.333333333333336,-0.259,0.714,0.666
207093,1755606543407,15.52,47.29,-22.07,801,779,770,360,874,34.48275862068966,-0.261,0.713,0.661
207122,1755606543409,15.53,47.31,-22.07,801,773,772,401,877,34.48275862068966,-0.261,0.714,0.66
207152,1755606543410,15.54,47.4,-22.02,798,779,774,393,875,33.333333333333336,-0.259,0.715,0.664
207182,1755606543412,15.58,47.4,-22.06,794,773,774,334,873,33.333333333333336,-0.257,0.716,0.659
207211,1755606543414,15.58,47.3,-22.09,800,773,776,345,872,34.48275862068966,-0.257,0.713,0.657
207241,1755606543416,15.59,47.3,-22.06,801,777,773,415,878,33.333333333333336,-0.26,0.713,0.662
207270,1755606543419,15.58,47.36,-22.03,798,771,770,419,875,34.48275862068966,-0.258,0.715,0.662
207290,1755606543421,15.58,47.38,-22.05,797,767,770,394,878,50.0,-0.255,0.718,0.658
207320,1755606543423,15.6,47.35,-22.12,802,768,778,388,875,33.333333333333336,-0.258,0.715,0.657
207349,1755606543425,15.59,47.33,-22.12,794,778,776,343,879,34.48275862068966,-0.26,0.712,0.655
207379,1755606543427,15.58,47.28,-22.08,815,777,769,326,883,33.333333333333336,-0.263,0.713,0.656
207408,1755606543429,15.6,47.36,-22.06,802,774,767,397,878,34.48275862068966,-0.262,0.719,0.662
207438,1755606543431,15.66,47.4,-22.07,797,774,774,439,874,33.333333333333336,-0.26,0.718,0.661
207467,1755606543433,15.66,47.44,-22.1,799,773,777,371,882,34.48275862068966,-0.259,0.717,0.656
207497,1755606543435,15.61,47.37,-22.08,800,767,775,321,879,33.333333333333336,-0.258,0.713,0.656
207527,1755606543437,15.58,47.3,-22.05,798,775,773,358,877,33.333333333333336,-0.262,0.714,0.659
