timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
204314,1755603452114,28.17,-33.92,-26.09,777,779,779,443,819,33.333333333333336,-0.467,-0.496,0.735
204334,1755603452116,28.15,-33.91,-26.08,775,777,765,330,824,50.0,-0.466,-0.496,0.734
204364,1755603452118,28.16,-33.89,-26.09,780,769,774,438,815,33.333333333333336,-0.464,-0.496,0.734
204394,1755603452120,28.14,-33.9,-26.1,777,770,774,417,816,33.333333333333336,-0.463,-0.497,0.736
204424,1755603452123,28.16,-33.87,-26.09,779,776,771,335,824,33.333333333333336,-0.464,-0.497,0.735
204454,1755603452125,28.17,-33.87,-26.08,774,777,777,261,821,33.333333333333336,-0.466,-0.498,0.733
204474,1755603452127,28.16,-33.85,-26.06,775,776,773,353,823,50.0,-0.467,-0.499,0.735
204504,1755603452129,28.15,-33.79,-26.05,780,780,771,325,815,33.333333333333336,-0.463,-0.495,0.734
204524,1755603452132,28.16,-33.79,-26.06,777,780,765,399,816,50.0,-0.462,-0.494,0.733
204544,1755603452133,28.17,-33.79,-26.06,773,776,776,465,817,50.0,-0.466,-0.495,0.735
204574,1755603452136,28.13,-33.73,-26.03,774,780,769,361,806,33.333333333333336,-0.465,-0.494,0.735
204604,1755603452138,28.14,-33.7,-26.01,773,771,775,329,813,33.333333333333336,-0.464,-0.492,0.736
204634,1755603452139,28.15,-33.71,-26.0,778,772,772,373,814,33.333333333333336,-0.465,-0.492,0.736
204664,1755603452142,28.16,-33.69,-25.98,779,771,774,447,822,33.333333333333336,-0.465,-0.49,0.735
204684,1755603452144,28.15,-33.69,-25.99,776,778,770,320,820,50.0,-0.464,-0.488,0.733
204714,1755603452146,28.18,-33.74,-25.99,772,776,770,424,820,33.333333333333336,-0.468,-0.492,0.734
204743,1755603452148,28.16,-33.7,-25.98,781,779,775,413,817,34.48275862068966,-0.468,-0.493,0.736
204764,1755603452150,28.17,-33.68,-25.97,771,779,772,398,815,47.61904761904762,-0.465,-0.491,0.735
204793,1755603452152,28.18,-33.69,-25.99,782,783,773,403,815,34.48275862068966,-0.463,-0.489,0.734
204823,1755603452154,28.21,-33.73,-26.01,777,777,773,313,819,33.333333333333336,-0.465,-0.491,0.735
204853,1755603452156,28.23,-33.71,-26.01,776,772,772,316,819,33.333333333333336,-0.467,-0.492,0.735
204883,1755603452158,28.3,-33.73,-26.0,773,773,781,390,820,33.333333333333336,-0.468,-0.492,0.734
204913,1755603452160,28.33,-33.76,-26.0,775,778,772,455,818,33.333333333333336,-0.465,-0.491,0.731
204933,1755603452162,28.38,-33.8,-26.02,781,777,776,335,818,50.0,-0.465,-0.489,0.736
204963,1755603452164,28.51,-33.89,-26.04,777,773,775,410,820,33.333333333333336,-0.467,-0.491,0.739
204993,1755603452165,28.59,-33.93,-26.06,772,777,771,398,815,33.333333333333336,-0.469,-0.493,0.736
205023,1755603452168,28.59,-33.94,-26.08,774,780,773,305,826,33.333333333333336,-0.471,-0.495,0.733
205052,1755603452170,28.59,-33.93,-26.08,771,780,772,321,820,34.48275862068966,-0.473,-0.496,0.733
205073,1755603452172,28.57,-33.91,-26.09,776,771,776,359,813,47.61904761904762,-0.472,-0.496,0.734
205103,1755603452174,28.59,-33.91,-26.09,775,782,775,354,820,33.333333333333336,-0.472,-0.495,0.734
205123,1755603452176,28.62,-33.93,-26.1,775,774,775,385,823,50.0,-0.472,-0.495,0.732
205153,1755603452178,28.6,-33.92,-26.09,773,776,772,371,818,33.333333333333336,-0.474,-0.496,0.731
205182,1755603452180,28.58,-33.9,-26.1,780,772,773,431,815,34.48275862068966,-0.474,-0.494,0.73
205212,1755603452182,28.58,-33.91,-26.1,775,780,771,445,814,33.333333333333336,-0.474,-0.495,0.731
205232,1755603452184,28.58,-33.93,-26.1,775,779,773,361,810,50.0,-0.474,-0.496,0.73
205262,1755603452186,28.59,-33.92,-26.09,775,781,775,416,816,33.333333333333336,-0.473,-0.497,0.73
205282,1755603452188,28.57,-33.92,-26.09,776,777,777,341,822,50.0,-0.472,-0.497,0.73
205312,1755603452191,28.55,-33.9,-26.09,778,781,772,386,814,33.333333333333336,-0.471,-0.496,0.731
